invoice_no,customer_id,customer_name,contact_email,amount_vnd,issue_date,due_date,status,paid_amount_vnd,paid_date,payment_reference,last_reminder_date
INV-2026-801,C01,Đại lý Phương Nam (demo),ketoan.c01@example.com,27250000,2026-07-21,2026-08-20,paid,27250000,2026-09-17,INV-2026-801,
INV-2026-802,C02,Tạp hóa Minh Châu (demo),ketoan.c02@example.com,22250000,2026-07-30,2026-08-29,unpaid,0,,INV-2026-802,2026-09-18
INV-2026-803,C03,Nhà thuốc Thiện Tâm (demo),ketoan.c03@example.com,27000000,2026-08-05,2026-09-04,unpaid,0,,INV-2026-803,
INV-2026-804,C04,Siêu thị mini Hòa Bình (demo),ketoan.c04@example.com,18500000,2026-08-11,2026-09-10,unpaid,0,,INV-2026-804,
INV-2026-805,C05,Công ty TNHH Việt Tín (demo),ketoan.c05@example.com,60000000,2026-08-15,2026-09-14,unpaid,0,,INV-2026-805,
INV-2026-806,C06,Cửa hàng Điện máy Sao Việt (demo),ketoan.c06@example.com,60500000,2026-08-17,2026-09-16,paid,60500000,2026-09-17,INV-2026-806,
INV-2026-807,C07,Quán cà phê Gió Chiều (demo),ketoan.c07@example.com,60250000,2026-08-19,2026-09-18,unpaid,0,,INV-2026-807,
INV-2026-808,C08,Nhà hàng Bếp Nhà (demo),ketoan.c08@example.com,15250000,2026-08-20,2026-09-19,unpaid,0,,INV-2026-808,
INV-2026-809,C09,Đại lý Thành Công (demo),ketoan.c09@example.com,22250000,2026-08-21,2026-09-20,unpaid,0,,INV-2026-809,
INV-2026-810,C10,Công ty CP Xanh Sạch (demo),ketoan.c10@example.com,6250000,2026-08-22,2026-09-21,unpaid,0,,INV-2026-810,
INV-2026-811,C11,Tiệm bánh Mộc (demo),ketoan.c11@example.com,15500000,2026-08-23,2026-09-22,unpaid,0,,INV-2026-811,
INV-2026-812,C12,Khách sạn Lam Ngọc (demo),ketoan.c12@example.com,48250000,2026-08-25,2026-09-24,unpaid,0,,INV-2026-812,
INV-2026-813,C01,Đại lý Phương Nam (demo),ketoan.c01@example.com,27250000,2026-08-27,2026-09-26,unpaid,0,,INV-2026-813,
INV-2026-814,C02,Tạp hóa Minh Châu (demo),ketoan.c02@example.com,60250000,2026-08-30,2026-09-29,unpaid,0,,INV-2026-814,
INV-2026-815,C03,Nhà thuốc Thiện Tâm (demo),ketoan.c03@example.com,12500000,2026-09-03,2026-10-03,unpaid,0,,INV-2026-815,
INV-2026-816,C04,Siêu thị mini Hòa Bình (demo),ketoan.c04@example.com,75250000,2026-08-08,2026-09-07,unpaid,0,,INV-2026-816,
INV-2026-817,C05,Công ty TNHH Việt Tín (demo),ketoan.c05@example.com,27500000,2026-08-13,2026-09-12,paid,27500000,2026-09-17,INV-2026-817,
INV-2026-818,C06,Cửa hàng Điện máy Sao Việt (demo),ketoan.c06@example.com,22250000,2026-08-18,2026-09-17,unpaid,0,,INV-2026-818,
INV-2026-819,C07,Quán cà phê Gió Chiều (demo),ketoan.c07@example.com,27500000,2026-08-24,2026-09-23,unpaid,0,,INV-2026-819,
INV-2026-820,C08,Nhà hàng Bếp Nhà (demo),ketoan.c08@example.com,60250000,2026-08-26,2026-09-25,unpaid,0,,INV-2026-820,
INV-2026-821,C09,Đại lý Thành Công (demo),ketoan.c09@example.com,22000000,2026-07-06,2026-08-05,disputed,0,,INV-2026-821,
INV-2026-822,C10,Công ty CP Xanh Sạch (demo),ketoan.c10@example.com,8250000,2026-08-28,2026-09-27,unpaid,0,,INV-2026-822,
INV-2026-823,C11,Tiệm bánh Mộc (demo),ketoan.c11@example.com,35000000,2026-08-16,2026-09-15,unpaid,0,,INV-2026-823,
INV-2026-824,C12,Khách sạn Lam Ngọc (demo),ketoan.c12@example.com,27500000,2026-09-01,2026-10-01,unpaid,0,,INV-2026-824,
INV-2026-825,C01,Đại lý Phương Nam (demo),ketoan.c01@example.com,27000000,2026-08-02,2026-09-01,unpaid,0,,INV-2026-825,
