order_id,order_datetime,channel,items_count,gross_vnd,discount_vnd,net_vnd,status,payment_method
SO00001,2026-09-13T10:55,shopee_food_demo,3,149000,0,149000,completed,e_wallet
SO00002,2026-09-13T07:49,at_store,2,88000,0,88000,completed,e_wallet
SO00003,2026-09-13T15:13,at_store,2,94000,0,94000,completed,cash
SO00004,2026-09-13T14:20,at_store,2,81000,0,81000,completed,e_wallet
SO00005,2026-09-13T19:10,website,3,126000,13000,113000,completed,cash
SO00006,2026-09-13T15:10,at_store,1,39000,4000,35000,completed,cash
SO00007,2026-09-13T18:15,at_store,1,45000,0,45000,cancelled,card
SO00008,2026-09-13T18:59,website,4,172000,0,172000,completed,qr_transfer
SO00009,2026-09-13T17:02,at_store,4,214000,0,214000,completed,e_wallet
SO00010,2026-09-13T19:30,at_store,2,100000,0,100000,completed,cash
SO00011,2026-09-13T08:41,at_store,3,116000,0,116000,completed,card
SO00012,2026-09-13T07:37,at_store,3,153000,15000,138000,completed,e_wallet
SO00013,2026-09-13T19:25,at_store,1,49000,0,49000,completed,qr_transfer
SO00014,2026-09-13T07:28,grab_demo,1,45000,0,45000,completed,qr_transfer
SO00015,2026-09-13T08:48,at_store,1,39000,4000,35000,completed,card
SO00016,2026-09-13T16:47,shopee_food_demo,3,119000,0,119000,completed,qr_transfer
SO00017,2026-09-13T19:35,at_store,4,214000,0,214000,completed,cash
SO00018,2026-09-13T19:42,grab_demo,2,100000,0,100000,completed,card
SO00019,2026-09-13T07:24,shopee_food_demo,3,149000,0,149000,completed,card
SO00020,2026-09-13T15:34,at_store,3,163000,0,163000,completed,cash
SO00021,2026-09-13T10:42,at_store,3,149000,15000,134000,completed,qr_transfer
SO00022,2026-09-13T15:00,grab_demo,2,110000,0,110000,completed,card
SO00023,2026-09-13T08:09,at_store,2,77000,0,77000,completed,cash
SO00024,2026-09-13T12:28,shopee_food_demo,2,70000,0,70000,completed,e_wallet
SO00025,2026-09-13T09:47,grab_demo,2,110000,0,110000,completed,e_wallet
SO00026,2026-09-13T09:13,website,4,165000,16000,149000,completed,card
SO00027,2026-09-13T17:06,at_store,4,214000,0,214000,completed,qr_transfer
SO00028,2026-09-13T15:39,at_store,1,65000,6000,59000,completed,e_wallet
SO00029,2026-09-13T17:32,at_store,1,42000,0,42000,completed,qr_transfer
SO00030,2026-09-13T09:24,grab_demo,1,45000,4000,41000,completed,cash
SO00031,2026-09-13T15:32,at_store,1,65000,0,65000,completed,card
SO00032,2026-09-13T19:32,at_store,2,104000,10000,94000,completed,card
SO00033,2026-09-13T19:26,at_store,1,45000,4000,41000,completed,e_wallet
SO00034,2026-09-13T15:22,shopee_food_demo,1,39000,4000,35000,completed,cash
SO00035,2026-09-13T07:25,at_store,1,39000,0,39000,completed,qr_transfer
SO00036,2026-09-13T11:06,at_store,2,81000,0,81000,completed,e_wallet
SO00037,2026-09-13T07:40,at_store,2,91000,9000,82000,refunded,qr_transfer
SO00038,2026-09-13T10:48,at_store,1,35000,0,35000,completed,qr_transfer
SO00039,2026-09-13T12:12,shopee_food_demo,3,145000,0,145000,completed,e_wallet
SO00040,2026-09-13T10:09,at_store,2,74000,0,74000,completed,cash
SO00041,2026-09-13T20:29,at_store,2,84000,0,84000,completed,cash
SO00042,2026-09-13T12:06,website,2,80000,0,80000,completed,e_wallet
SO00043,2026-09-13T08:33,at_store,2,100000,0,100000,completed,cash
SO00044,2026-09-13T10:50,at_store,1,35000,0,35000,completed,e_wallet
SO00045,2026-09-13T18:48,at_store,1,65000,0,65000,completed,cash
SO00046,2026-09-13T15:19,at_store,4,178000,18000,160000,completed,qr_transfer
SO00047,2026-09-13T14:33,at_store,2,77000,8000,69000,completed,e_wallet
SO00048,2026-09-13T17:22,shopee_food_demo,4,211000,21000,190000,completed,card
SO00049,2026-09-13T09:58,at_store,1,35000,4000,31000,completed,card
SO00050,2026-09-13T17:25,grab_demo,1,65000,0,65000,completed,e_wallet
